TransactionID,Items
1,"['Coffee', 'Pancake', 'Jacket', 'Candy']"
2,"['Jacket', 'Creatine', 'Necklace']"
3,"['Coffee', 'Necklace']"
4,"['Candy', 'Creatine']"
5,"['Coffee', 'Candy', 'Creatine']"
6,"['Jacket', 'Necklace']"
7,"['Coffee', 'Candy', 'Pancake']"
8,"['Creatine', 'Pancake']"
9,"['Necklace', 'Jacket', 'Coffee']"
10,"['Coffee', 'Candy', 'Pancake']"
11,"['Jacket', 'Necklace']"
12,"['Creatine', 'Coffee']"
13,"['Necklace', 'Candy', 'Coffee', 'Pancake']"
14,"['Creatine', 'Coffee', 'Creatine']"
15,"['Jacket', 'Necklace']"
16,"['Necklace', 'Coffee', 'Jacket']"
17,"['Creatine', 'Pancake', 'Jacket']"
18,"['Jacket', 'Creatine', 'Coffee', 'Necklace', 'Pancake']"
19,"['Candy', 'Pancake', 'Coffee']"
20,"['Jacket', 'Creatine']"
