TransactionID,Transactions
1,"['Boots', 'Suit', 'Shoes', 'Coat']"
2,"['Suit', 'Boots', 'Coat']"
3,"['Suit', 'Coat']"
4,"['Coat', 'Shirts']"
5,"['Coat', 'Boots', 'Shoes']"
6,"['Shirts', 'Suit']"
7,"['Boots', 'Shoes', 'Suit']"
8,"['Coat', 'Suit']"
9,"['Shirts', 'Boots', 'Suit']"
10,"['Suit', 'Coat', 'Shirts']"
11,"['Suit', 'Shirts']"
12,"['Boots', 'Shirts', 'Coat']"
13,"['Suit', 'Shirts', 'Shoes']"
14,"['Coat', 'Boots', 'Shoes']"
15,"['Suit', 'Coat', 'Shirts']"
16,"['Coat', 'Suit', 'Boots']"
17,"['Boots', 'Suit', 'Shoes']"
18,"['Shirts', 'Boots', 'Shoes', 'Suit']"
19,"['Shirts', 'Suit', 'Boots']"
20,"['Boots', 'Shoes']"
