TransactionID,Items
1,"['Bread', 'Milk', 'Cookies', 'Orange']"
2,"['Yogurt', 'Ice Cream', 'Orange']"
3,"['Bread', 'Milk']"
4,"['Ice Cream', 'Cookies']"
5,"['Milk', 'Cookies', 'Oranges']"
6,"['Oranges', 'Bread']"
7,"['Cookies', 'Milk', 'Ice Cream']"
8,"['Yogurt', 'Bread']"
9,"['Ice Cream', 'Milk', 'Cookies']"
10,"['Bread', 'Yogurt', 'Milk']"
11,"['Milk', 'Cookies']"
12,"['Orange', 'Milk']"
13,"['Bread', 'Orange', 'Cookies', 'Milk']"
14,"['Cookies', 'Milk', 'Yogurt']"
15,"['Ice Cream', 'Bread']"
16,"['Milk', 'Cookies', 'Yogurt']"
17,"['Yogurt', 'Bread', 'Oranges']"
18,"['Milk', 'Cookies', 'Bread', 'Oranges', 'Ice Cream']"
19,"['Yogurt', 'Bread', 'Ice Cream']"
20,"['Bread', 'Cookies']"
