TransactionID,Transactions
1,"['Cereal', 'Vegetables', 'Deli Meats', 'Lotion']"
2,"['Vegetables', 'T-Shirts', 'Cheese']"
3,"['Cereal', 'Coat Hangers']"
4,"['Lotion', 'Vegetables']"
5,"['Deli Meats', 'T-Shirts', 'Vegetables']"
6,"['Coat Hangers', 'Vegetables']"
7,"['Cheese', 'Cereal', 'Deli Meats']"
8,"['Cheese', 'Coat Hangers']"
9,"['Cereal', 'Deli Meats', 'Vegetables']"
10,"['Deli Meats', 'Cheese', 'Coat Hangers']"
11,"['Vegetables', 'Lotion']"
12,"['Cereal', 'Cheese']"
13,"['T-Shirts', 'Vegetables', 'Cereal', 'Lotion']"
14,"['Deli Meats', 'Lotion', 'Coat Hangers']"
15,"['Vegetables', 'Deli Meats']"
16,"['Lotion', 'T-Shirts', 'Vegetables']"
17,"['Coat Hangers', 'Vegetables', 'Cereal']"
18,"['Vegetables', 'Coat Hangers', 'Cereal', 'Lotion', 'T-Shirts']"
19,"['Cheese', 'Coat Hangers', 'Lotion']"
20,"['Cheese', 'T-Shirts']"
